Country_name;Population
Austria;9,025,715
Belgium;11,602,522
Bulgaria;6,943,915
Croatia;4,101,782
Cyprus;1,190,007
Czechia;10,715,154
Denmark;5,793,679
Estonia;1,328,655
Finland;5,542,713
France;65,283,211
Germany;83,951,077
Greece;10,420,046
Hungary;9,659,639
Ireland;4,953,657
Italy;60,465,251
Latvia;1,883,138
Lithuania;2,714,541
Luxembourg;628,614
Malta;441,612
Netherlands;17,138,553
Poland;37,850,596
Portugal;10,193,282
Romania;19,210,031
Slovakia;5,461,415
Slovenia;2,079,553
Spain;46,785,134
Sweden;10,108,080
