"country","leftMargin","rightMargin"
"Austria",0.078,0.081
"Belgium",0.283,0.288
"Bulgaria",0.044,0.047
"Croatia",0.023,0.026
"Cyprus",0.027,0.032
"Czechia",0.019,0.021
"Denmark",0.088,0.092
"Estonia",0.04,0.046
"Finland",0.034,0.037
"France",0.079,0.08
"Germany",0.022,0.022
"Greece",0.023,0.025
"Hungary",0.012,0.013
"Ireland",0.149,0.155
"Italy",0.089,0.09
"Latvia",0.01,0.012
"Lithuania",0.028,0.032
"Luxembourg",0.139,0.155
"Malta",0.066,0.079
"Netherlands",0.028,0.029
"Poland",0.066,0.068
"Portugal",0.152,0.156
"Romania",0.031,0.033
"Slovakia",0.018,0.02
"Slovenia",0.007,0.009
"Spain",0.202,0.204
"Sweden",0.583,0.591
