"","namesOfCountrys","X0.558","X0.977"
"1","Austria",0.558,0.977
"2","Belgium",12.674,13.407
"3","Bulgaria",4.682,6.319
"4","Croatia",0.254,1.423
"5","Cyprus",1.379,5.458
"6","Czechia",0.213,0.859
"7","Denmark",3.488,4.589
"8","Estonia",0.01,1.198
"9","Finland",0.88,1.985
"10","France",6.611,7.048
"11","Germany",0.181,0.332
"12","Greece",4.215,6.011
"13","Hungary",5.17,8.059
"14","Ireland",3.152,4.011
"15","Italy",8.769,9.256
"16","Latvia",0,2.604
"17","Lithuania",0.571,2.287
"18","Luxembourg",0.426,1.869
"19","Malta",0,1.613
"20","Netherlands",3.922,5.123
"21","Poland",4.209,4.724
"22","Portugal",2.559,3.087
"23","Romania",4.192,5.283
"24","Slovakia",0.381,1.675
"25","Slovenia",0,3.306
"26","Spain",8.495,8.855
"27","Sweden",8.466,8.922
